Campaign name,By Day,Subregion,Cost,Impressions,Clicks (destination),Conversions,Frequency,Currency
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-12,England,202.80,22482,94,2,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-15,Florida,202.57,16763,73,1,-,AUD
Newness: Conversions | Search Campaign Competitors - US/AU,2025-10-15,Florida,201.93,6963,152,1,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-18,California,201.71,11923,257,3,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US (Updated),2025-10-15,Florida,201.51,16827,347,3,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US,2025-10-12,California,201.47,19765,198,1,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US,2025-10-13,Texas,199.99,12409,154,2,-,AUD
Newness: Collection Ads | Conversions - CPA | Atelier 2 Collection - Top Markets,2025-10-15,New South Wales,199.12,24873,42,3,-,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-13,South Australia,198.66,30607,69,1,-,AUD
Newness: Collection Ads | Conversions | Solune Collection - Top markets,2025-10-18,Victoria,198.41,47758,277,2,-,AUD
Seasonal Collection | US Only,2025-10-15,New York,198.02,20133,140,0,-,AUD
Top Ads | Catalog Test | Highest Bid | Automatic | US,2025-10-13,New York,197.54,12203,133,4,-,AUD
