Campaign name,By Day,Ad name,Campaign ID,Ad group name,Ad group ID,Ad ID,Cost,Impressions,Clicks (destination),Frequency,Conversions,Video views,2-second video views,6-second video views,Video views at 100%,Video views at 75%,Video views at 50%,Video views at 25%,Average play time per video view,Adds to cart (website),Add to cart value (website),Currency
Seasonal Collection | Europe,2025-10-16,Seasonal Bridesmaid | Trio Reaction Video | Logo Only | Soirée Campaign Content,1834056143155217,Seasonal Bridesmaid NEW,1834056143165457,1841153887238193,0.38,52,0,1.06,0,51,3,2,2,2,2,3,1.28,0,0.00,AUD
Seasonal Collection | Top Markets NEW,2025-10-15,Seasonal Birthday | @monicatatong | Logo Only | PR Content,1841692986014721,Seasonal Birthday,1842066844751985,1842980722655265,0.38,55,0,1.00,0,55,10,0,0,0,0,2,1.40,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Europe,2025-10-18,PR Content Sauline & Vixen Lemon | TikTok | ED: 18/11/2025,1839252302887954,Cold #1 - 8/1/2025,1839260625409089,1840975086400673,0.38,73,1,1.01,0,71,26,8,7,9,11,24,3.09,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - ROW,2025-10-13,Calanthe & Kensington Emerald Fit Check | TikTok | ED: 16/12/2025,1842432392750258,Cold #2 - 12/9/2025,1843042804409570,1843509600842786,0.38,271,10,4.59,0,268,80,49,15,17,37,49,2.74,0,0.00,AUD
Best Ads | ROAS | Value | August/September | UK,2025-10-16,Small Bust Fits | TikTok | ED: 30/10/2025,1841594235269121,Top Ads #1 27/08/2025,1841594235269137,1841604087463138,0.38,32,0,1.00,0,32,3,2,2,2,2,3,1.54,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-13,PR Content Pretty Tye Rosetta GRWM | TikTok | ED: 01/01/2026,1844953045703745,Cold #1 - 3/10/2025,1845141014880338,1845141365342402,0.38,42,0,1.02,0,40,10,1,0,1,1,7,1.57,0,0.00,AUD
Newness: Collection Ads | Conversions - CPA | Séduire Collection - Top Markets,2025-10-17,Ad | Video | Séduire D2 | Campaign | Product | Standard | Rosetta Maxi Leopard V2 | ED: 06/01/26,1845424952842274,Drop- #2 | ED: 13/01/2026,1845967810051154,1845968355019889,0.38,21,0,1.00,0,19,1,1,0,0,1,1,1.11,0,0.00,AUD
Newness: Collection Ads | Conversions - CPA | October | Top Markets,2025-10-19,Ad | Video | Ecom | Product | Compilation Cornelia Mini Dress Plum Brown V3 | ED: 30/12/2025,1845228052428834,Drop- #1 | ED: 30/12/2025,1845228200848545,1845228387557425,0.38,100,1,7.69,0,97,25,13,6,8,12,17,2.90,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - ROW,2025-10-15,PR Content Ellabekind Aveta Ivory | TikTok | ED: 24/12/2025,1842432392750258,Cold #3 - 24/9/2025,1844243764202625,1844244280709234,0.38,201,17,2.48,0,147,109,73,65,72,73,105,9.85,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Top Markets,2025-10-14,Monica Ivory Pan Up | TikTok | ED: 28/11/2025,1839260273016914,Cold #2 - 8/22/2025 US Excluded,1841505490794561,1841871135135890,0.38,38,1,1.15,0,18,3,1,1,1,1,3,2.01,0,0.00,AUD
